item_id,category_name,item_description,item_title,business_line,tf_code
1368478,شیرینی سنتی,"±۵۰ گرم، ماست، تخم مرغ، شکر، نشاسته، آرد، شربت، گلاب",زولبیا و بامیه یک کیلوگرم,Pastry,5lxp98
1368479,حلوا و خرما,"±۵۰ گرم، جعبه ای",حلوا رولتی (دو کیلوگرم),Pastry,5lxp98
1368480,حلوا و خرما,"60 تا 70 عدد، خرما با مغز گردو، با روکش حلوا لورن",حلوا خرمایی (دو کیلوگرم),Pastry,5lxp98
1368482,حلوا و خرما,"±۵۰ گرم، حلوا شکلاتی ",حلوا برشتوک (یک کیلوگرم),Pastry,5lxp98
1368748,غذای پرسی,,حلوا سنتی (200 گرم),Restaurant,5m34no
1369123,خشکبار,± 50 گرم,خرما زاهدی 250 گرم,,5rpxlw
1369124,خشکبار,± 50 گرم,خرما پیارم 250 گرم,,5rpxlw
1371305,حلوا و خرما,± 50 گرم,حلوا ویفری (1.5  کیلوگرم) حلوا ویفری (1.5 کیلوگرم),Pastry,5o94mm
1371432,پیش غذا,"مینی کروسان، 100 گرم شیر، نشاسته، آرد برنج، زعفران، هل
",فرنی کروسان,Restaurant,277l8o
1371454,شیرینی خشک,"± 50 گرم، شهد زعفرانی، مناسب مراسم مذهبی و پذیرایی همراه چای
",زولبیا بامیه 500 گرم,Pastry,5wwn79
1371484,حلوا و خرما,± 50 گرم,خرما گردو (1.6 کیلوگرم),Pastry,5wwn79
1371487,حلوا و خرما,± 50 گرم,حلوا رولتی (دو کیلوگرم),Pastry,5wwn79
1371488,حلوا و خرما,± 50 گرم,حلوا خرمای زعفرانی (دو کیلوگرم),Pastry,5wwn79
1371521,خرما, ± 50 گرم,خرما آلویی ۵۰۰ گرم,,5x7nwm
1372630,"حبه میوه‌های متنوع، سالم و خوشمزه","ترکیبات: خمیر خرما کبکاب درجه یک، گردو درجه یک، ۱۰۰ درصد طبیعی، فاقد و موادنگهدارنده، در دمای یخچال، به دور از نور خورشید نگهداری شود.",حبه خرما گردو یک بسته (۲۱۵گرمی),,2gozpy
1372631,"حبه میوه‌های متنوع، سالم و خوشمزه","ترکیبات: خمیر خرما کبکاب با پودر دارچین، خواص: ضدالتهاب قوی، بهبود بیماری های عصبی، ۱۰۰ درصد طبیعی، فاقد و موادنگهدارنده",حبه خرما دارچین (215 گرم),,2gozpy
1372632,"حبه میوه‌های متنوع، سالم و خوشمزه","ترکیبات: خمیر خرما کبکاب با کنجد، خواص: مقابله با عفونت ها، تسکین اضطراب و درد، ۱۰۰ درصد طبیعی، فاقد و موادنگهدارنده",حبه خرما گل محمدی 215 گرم,,2gozpy
1372633,"حبه میوه‌های متنوع، سالم و خوشمزه","ترکیبات: خمیر خرما کبکاب، هل، ۱۰۰ درصد طبیعی، فاقد و موادنگهدارنده",حبه خرما هل (215 گرم),,2gozpy
1372635,"حبه میوه‌های متنوع، سالم و خوشمزه","ترکیبات: خمیر خرما، کنجد، ۱۰۰ درصد طبیعی، فاقد و موادنگهدارنده",حبه خرما کنجد (215 گرم),,2gozpy
1372636,"حبه میوه‌های متنوع، سالم و خوشمزه","ترکیبات: خمیر خرما کبکاب، آلو درجه یک، ۱۰۰ درصد طبیعی، فاقد موادنگهدارنده و افزودنی",حبه خرما آلو (215 گرم),,2gozpy
1372637,"حبه میوه‌های متنوع، سالم و خوشمزه","ترکیبات: خمیر خرما کبکاب: خواص: کاهش نفخ و انرژی زا، ۱۰۰ درصد طبیعی، فاقد و موادنگهدارنده",حبه خرما ساده (215 گرم),,2gozpy
1381840,خشکبار, ±۵۰ گرم,خرما زاهدی 500 گرم,,29pg9l
1381841,خشکبار, ±۵۰ گرم,خرما خاصویی 500 گرم,,29pg9l
1381842,خشکبار, ±۵۰ گرم,خرما پیارم اعلا 500 گرم,,29pg9l
1382656,خشکبار,± ۵۰ گرم,خرما زاهدی یک کیلو گرم,,2wwypm
1382657,خشکبار,± ۵۰ گرم,خرما خاصویی 250 گرم,,2wwypm
1382658,خشکبار,± ۵۰ گرم,خرما پیارم 250 گرم,,2wwypm
1382670,خشکبار,± ۵۰ گرم,خرما شیرازی یک کیلو گرم,,2wwypm
1382724,تنقلات,"± ۵۰ گرم، بسته بندی بهداشتی",خرما شکلاتی 250 گرم,,2wwypm
1384545,حلوا مدرن,,حلوا مدرن پسته ای ۴۰ عدد,Restaurant,566kwo
1384547,حلوا مدرن,,حلوا مدرن نسکافه ای ۴۰ عدد,Restaurant,566kwo
1384564,رولت حلوا,,رولت حلوا هشت عدد,Restaurant,566kwo
